,dut,vuln,median,mean,stddev,min,mean_cpuh,median_cpuh,stddev_cpuh,min_cpuh,pretty_name_dut,specdoc-mean-speedup,specdoc-max-speedup
2,boom,Spectre-V1,15134.444411754608,20157.022331924323,13978.438985304361,13978.438985304361,5h35m,4h12m,3h52m,3h52m,BOOM,4.80428102947659,6.927812190031278
3,boom,Spectre-V2,28602.063792705536,28239.70284678859,16858.558198407616,16858.558198407616,7h50m,7h56m,4h40m,4h40m,BOOM,3.9008909051791725,6.534366622787779
1,boom,Spectre-RSB,41319.58123362064,41319.58123362064,1047.6747254133224,1047.6747254133224,11h28m,11h28m,0h17m,0h17m,BOOM,,
0,boom,Meltdown,20012.332825541496,22224.593129238085,16415.746256655442,16415.746256655442,6h10m,5h33m,4h33m,4h33m,BOOM,5.620800312229725,7.609766747542997
5,boom,Trans. Meltdown,26009.030332803726,25189.5009118557,15164.967316253895,15164.967316253895,6h59m,7h13m,4h12m,4h12m,BOOM,3.8444588616053625,6.385770439228469
6,boom,cp-Spectre-V2,32290.44571495056,27661.512999653816,16361.029782474698,16361.029782474698,7h41m,8h58m,4h32m,4h32m,BOOM,,
12,pt-boom,MDS*,20067.5649279356,24299.757552294897,16436.97239820153,16436.97239820153,6h44m,5h34m,4h33m,4h33m,BOOM,,
