leaker,mean,median,stddev
div,0h36m3s,0h40m4s,0h9m42s
divu,0h38m59s,0h40m34s,0h7m24s
divuw,0h38m27s,0h40m23s,0h7m45s
divw,0h39m15s,0h40m34s,0h6m53s
rem,0h35m12s,0h38m22s,0h10m33s
remu,0h38m41s,0h40m37s,0h8m16s
remuw,0h31m40s,0h37m3s,0h13m58s
remw,0h37m20s,0h40m23s,0h8m53s
